director_name,duration,actor_2_name,gross,genres,actor_1_name,movie_title,actor_3_name,plot_keywords,budget,title_year,imdb_score
David Yates,130,Emma Watson,380955619112011, Adventure | Drama | Fantasy | Mystery,Daniel Radcliffe,Harry Potter and the Deathly Hallows: Part 2,Rupert Grint,battle|final battle|immortality|strong female lead|female hero,125000000,2011,8.1
Michael Bay,154,Rosie Huntington-Whiteley,35235877972011, Action | Adventure | Sci-Fi,Shia LaBeouf,Transformers: Dark of the Moon,Tyrese Gibson,job interview|autobot|decepticon|moon|spacecraft,195000000,2011,6.3
Bill Condon,117125122,Robert Pattinson,281275991172012, Adventure | Drama | Fantasy | Romance,Kristen Stewart,The Twilight Saga: Breaking Dawn - Part 1,Taylor Lautner,honeymoon|wedding|marriage|pregnancy|female protagonist,110000000,2011,4.9
Todd Phillips,102,Zach Galifianakis,25445598692011, Comedy | Mystery,Bradley Cooper,The Hangover Part II,Ed Helms,pubic hair|hotel|male frontal nudity|wedding|thailand,80000000,2011,6.5
Rob Marshall,,Penélope Cruz,241063875232011, Action | Adventure | Fantasy,Johnny Depp,Pirates of the Caribbean: On Stranger Tides,Ian McShane,pirate|captain|blackbeard|soldier|revenge,250000000,2011,6.7
Justin Lin,131132,Paul Walker,20980500552011, Action | Crime | Thriller,Vin Diesel,Fast Five,Dwayne Johnson,heist|drugs|federal agent|police|drug lord,125000000,2011,7.3
Brad Bird,133,Jeremy Renner,20936492162012, Action | Adventure | Thriller,Tom Cruise,Mission: Impossible - Ghost Protocol,Simon Pegg,race against time|kremlin|russian|terrorist|dubai,145000000,2011,7.4
John Lasseter,106,Larry the Cable Guy,19145087592011, Animation | Adventure | Comedy | Family | Sport,Owen Wilson,Cars 2,Michael Caine,car race|best friend|spy|conspiracy|gadget car,200000000,2011,6.3
Guy Ritchie,129,Jude Law,186830669302012, Action | Adventure | Crime | Mystery | Thriller,Robert Downey Jr.,Sherlock Holmes: A Game of Shadows,Jared Harris,investigation|sherlock holmes|factory|train|gypsy,125000000,2011,7.5
Kenneth Branagh,115,Anthony Hopkins,181015141192011, Action | Adventure | Fantasy | Sci-Fi,Chris Hemsworth,Thor,Natalie Portman,thor|scientist|marvel cinematic universe|throne|battle,150000000,2011,7.0
Rupert Wyatt,105,Andy Serkis,176740650162011, Action | Drama | Sci-Fi | Thriller,James Franco,Rise of the Planet of the Apes,Freida Pinto,ape|alzheimer's disease|chimpanzee|when animals attack|fire,93000000,2011,7.6
Joe Johnston,124,Hugo Weaving,17663681642011, Action | Adventure | Sci-Fi,Chris Evans,Captain America: The First Avenger,Samuel L. Jackson,captain america|scientist|tesseract|war bond|arctic,140000000,2011,6.9
Tate Taylor,146,Viola Davis,16970558722012, Drama,Emma Stone,The Help,Octavia Spencer,black servant|maid|jackson mississippi|chocolate pie|writing a novel,25000000,2011,8.1
Paul Feig,125131,Maya Rudolph,169076745232011, Comedy | Romance,Kristen Wiig,Bridesmaids,Rose Byrne,best friend|job|food|failure|partial female nudity,32500000,2011,6.8
Jennifer Yuh Nelson,90,Angelina Jolie,165230261232011, Animation | Action | Adventure | Comedy | Family,Jack Black,Kung Fu Panda 2,Jackie Chan,anthropomorphic animal|china|flashback|tigress|peacock,150000000,2011,7.3
Chris Miller,90,Salma Hayek,149234747242012, Animation | Action | Adventure | Comedy | Family | Fantasy,Antonio Banderas,Puss in Boots,Zach Galifianakis,goose|egg|honor|hero|betrayal,130000000,2011,6.7
Matthew Vaughn,132,Michael Fassbender,146405371232011, Action | Adventure | Sci-Fi,James McAvoy,X: First Class,Jennifer Lawrence,mutant|professor|nuclear war|cia|cia agent,160000000,2011,7.8
Carlos Saldanha,96,Anne Hathaway,14361838422011, Animation | Adventure | Comedy | Family | Musical,Jesse Eisenberg,Rio,George Lopez,bird|macaw|ornithologist|brazil|minnesota,90000000,2011,7.0
Raja Gosnell,,Katy Perry,14261415892011, Animation | Adventure | Comedy | Family | Fantasy,Hank Azaria,The Smurfs,Jonathan Winters,smurf|blue|new york city|new york|no opening credits,110000000,2011,5.5
Mike Mitchell,87,Jesse McCartney,13310392912012, Animation | Adventure | Comedy | Family | Fantasy | Music,Justin Long,Alvin and the Chipmunks: Chipwrecked,Jason Lee,cruise ship|overboard|chipmunk|football ball|tennis ball,75000000,2011,4.4
J.J. Abrams,112,AJ Michalka,126975169232011, Mystery | Sci-Fi | Thriller,Elle Fanning,Super 8,Kyle Chandler,train|group of friends|train crash|time|deputy,50000000,2011,7.1
Gore Verbinski,107,Isla Fisher,12320719412011, Animation | Adventure | Comedy | Family | Western,Johnny Depp,Rango,Timothy Olyphant,water|sheriff|chameleon|lizard|pet,135000000,2011,7.2
Seth Gordon,106,Charlie Day,117528646212011, Comedy | Crime,Jason Bateman,Horrible Bosses,Jason Sudeikis,boss|murder|dental assistant|black comedy|chemical company,35000000,2011,6.9
Martin Campbell,114123,Blake Lively,116593191232011, Action | Adventure | Sci-Fi,Ryan Reynolds,Green Lantern,Peter Sarsgaard,lantern|ring|fear|test pilot|planet,200000000,2011,5.6
Tim Hill,,James Marsden,108012170102011, Animation | Adventure | Comedy | Family | Fantasy,Russell Brand,Hop,Elizabeth Perkins,slacker|easter bunny|easter|drummer|piaggio vespa gtv 250,63000000,2011,5.5
Henry Joost,8394,Jessica Tyler Brown,104007828302011, Horror,Chloe Csengery,Paranormal Activity 3,Christopher Nicholas Smith,imaginary friend|box office hit|woman wearing only a man's shirt|animate object|whispering,5000000,2011,5.8
Dennis Dugan,117,Jennifer Aniston,103028109132011, Comedy | Romance,Adam Sandler,Just Go with It,Brooklyn Decker,chick flick|hawaii|plastic surgeon|gay|woman wearing a string bikini,80000000,2011,6.4
David Fincher,158,Rooney Mara,102515793162012, Crime | Drama | Mystery | Thriller,Daniel Craig,The Girl with the Dragon Tattoo,Christopher Plummer,investigation|punk|journalist|hacker|computer hacker,90000000,2011,7.8
Jake Kasdan,9297,Jason Segel,10029285672011, Comedy,Cameron Diaz,Bad Teacher,Justin Timberlake,manipulator|bribery|selfish woman|narcissistic personality disorder|school teacher,20000000,2011,5.7
Jon Favreau,119135,Harrison Ford,100215116282011, Action | Sci-Fi | Thriller | Western,Daniel Craig,Cowboys & Aliens,Olivia Wilde,desert|cowboy|one man army|sheriff|posse,163000000,2011,6.0
Kelly Asbury,84,Emily Blunt,99808609172011, Animation | Comedy | Family | Romance,James McAvoy,Gnomeo & Juliet,Maggie Smith,garden|gnome|flamingo|neighbor|garden gnome,36000000,2011,6.0
Michel Gondry,,Jay Chou,98780042152011, Action | Comedy | Crime | Sci-Fi | Thriller,Seth Rogen,The Green Hornet,Christoph Waltz,kung fu|playboy|party|superhero|heir,120000000,2011,5.8
James Bobin,,Jason Segel,88625922302012, Adventure | Comedy | Family | Musical,Amy Adams,The Muppets,Chris Cooper,the muppets|tribute band|friends who live together|bel air california|book,45000000,2011,7.1
