director_name,duration,actor_2_name,gross,genres,actor_1_name,movie_title,actor_3_name,plot_keywords,budget,title_year,imdb_score
Christopher Nolan,152,Heath Ledger,533316061272009, Action | Crime | Drama | Thriller,Christian Bale,The Dark Knight,Aaron Eckhart,dc comics|moral dilemma|psychopath|false confession|star died before release,185000000,2008,9.0
Jon Favreau,126,Gwyneth Paltrow,318298180262008, Action | Adventure | Sci-Fi,Robert Downey Jr.,Iron Man,Terrence Howard,playboy|billionaire|inventor|afghanistan|u.s. air force,140000000,2008,7.9
Steven Spielberg,122,Cate Blanchett,317011114102008, Action | Adventure | Fantasy,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull,Shia LaBeouf,indiana jones|femme fatale|unsubtitled foreign language|year 1957|cult figure,185000000,2008,6.2
Peter Berg,92102,Charlize Theron,22794627452008, Action | Crime | Drama | Fantasy,Will Smith,Hancock,Jason Bateman,superhero|bully comeuppance|tough girl|destruction|prison,150000000,2008,6.4
Andrew Stanton,98,Elissa Knight,22380688922009, Animation | Adventure | Family | Sci-Fi,Ben Burtt,WALL·E,Jeff Garlin,earth|robot|soil|obesity|plant,180000000,2008,8.4
Mark Osborne,92,Ian McShane,21539502132008, Animation | Action | Adventure | Comedy | Family,Jack Black,Kung Fu Panda,Angelina Jolie,kung fu|master|panda|kung fu master|warrior,130000000,2008,7.6
Catherine Hardwicke,122,Robert Pattinson,191449475272009, Drama | Fantasy | Romance,Kristen Stewart,Twilight,Billy Burke,vampire|love|school|high school|blood,37000000,2008,5.2
Eric Darnell,89,Chris Rock,179982968202009, Animation | Action | Adventure | Comedy | Family,Ben Stiller,Madagascar: Escape 2 Africa,David Schwimmer,zoo|madagascar|new york city|sequel|africa,150000000,2008,6.7
Marc Forster,106,Olga Kurylenko,168368427232009, Action | Adventure,Daniel Craig,Quantum of Solace,Mathieu Amalric,bond girl|action hero|attempted rape|official james bond series|revenge,200000000,2008,6.7
Jimmy Hayward,86,Steve Carell,154529187292008, Animation | Adventure | Comedy | Family | Fantasy,Jim Carrey,Horton Hears a Who!,Carol Burnett,dust|elephant|rescue|kangaroo|animal,85000000,2008,6.9
Michael Patrick King,145151,Kim Cattrall,152637269122008, Comedy | Drama | Romance,Sarah Jessica Parker,Sex and the City,Cynthia Nixon,sequel to tv series|overreaction|2000s|may december romance|materialism,65000000,2008,5.5
Clint Eastwood,116,Bee Vang,148085755122009, Drama,Clint Eastwood,Gran Torino,Christopher Carley,gang|teenager|widower|gang rape|hmong,33000000,2009,8.2
Pierre Morel,93,Maggie Grace,14500098932009, Action | Thriller,Liam Neeson,Taken,Famke Janssen,agent|cia|france|rescue|cellphone call,25000000,2009,7.8
